organ,organ_ID,anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,svg file of single 2DFTU,exist_asctb,type,REF/1,REF/1/DOI,REF/1/NOTES,Inset #,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_7,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_8,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_9,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_10,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_11,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_12,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_13,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_14,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Endothelium_Peritubular_Capillary,peritubular capillary endothelial cell,CL:1001033,http://purl.obolibrary.org/obo/CL_1001033,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUThickAscendingLimb,#2DRefObjects,Thick_Ascending_Limb_Cell_1,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,http://purl.obolibrary.org/obo/CL_1001106,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
