organ,organ_id,ftu_label,ftu_id,ftu_part_svg_ct_label,ftu_part_label,ftu_part_id,ftu_part_svg_label,as_count,ct_count
Kidney,UBERON:0002113,Cortical Collecting Duct,UBERON:0004203,Intercalated Cell Type B,kidney connecting tubule beta-intercalated cell,CL:4030021,Cortical Collecting Duct Intercalated Cell Type B,0,2
Kidney,UBERON:0002113,Cortical Collecting Duct,UBERON:0004203,Connecting Tubule Intercalated Cell Type A,kidney connecting tubule alpha-intercalated cell,CL:4030020,Cortical Collecting Duct Intercalated Cell Type A,0,4
Kidney,UBERON:0002113,Cortical Collecting Duct,UBERON:0004203,,peritubular capillary endothelial cell,CL:1001033,Endothelium Peritubular Capillary,0,5
Kidney,UBERON:0002113,Cortical Collecting Duct,UBERON:0004203,Cortical Collecting Duct Principal Cell,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct Principal Cell,0,9
Kidney,UBERON:0002113,Outer Medullary Collecting Duct,UBERON:0004204,Outer Medullary Collecting Duct Intercalated Cell Type A,kidney outer medulla collecting duct intercalated cell,CL:1000717,Outer Medullary Collecting Duct Intercalated Cell Type A,0,5
Kidney,UBERON:0002113,Outer Medullary Collecting Duct,UBERON:0004204,Outer Medullary Collecting Duct Principal Cell,kidney outer medulla collecting duct principal cell,CL:1000716,Outer Medullary Collecting Duct Principal Cell,0,10
Kidney,UBERON:0002113,Outer Medullary Collecting Duct,UBERON:0004204,,peritubular capillary endothelial cell,CL:1001033,Endothelium Peritubular Capillary,0,2
Kidney,UBERON:0002113,Inner Medullary Collecting Duct,UBERON:0004205,Inner Medullary Collecting Duct Cell,kidney inner medulla collecting duct principal cell,CL:1000718,Inner Medullary Collecting Duct Cell,0,14
Kidney,UBERON:0002113,Inner Medullary Collecting Duct,UBERON:0004205,,peritubular capillary endothelial cell,CL:1001033,Endothelium Peritubular Capillary,0,5
Kidney,UBERON:0002113,Thick Ascending Limb Of Loop Of Henle,UBERON:0001291,Thick Ascending Limb Cell,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,Thick Ascending Limb Cell,0,9
Kidney,UBERON:0002113,Thick Ascending Limb Of Loop Of Henle,UBERON:0001291,,peritubular capillary endothelial cell,CL:1001033,Endothelium Peritubular Capillary,0,5
Kidney,UBERON:0002113,Descending Limb of Loop of Henle,UBERON:0001289,Descending Thin Limb Cell,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,Descending Thin Limb Cell,0,3
Kidney,UBERON:0002113,Descending Limb of Loop of Henle,UBERON:0001289,,vasa recta descending limb cell,CL:1001285,Descending Vasa Recta,0,3
Kidney,UBERON:0002113,Loop Of Henle Ascending Limb Thin Segment,UBERON:0004193,Ascending Thin Limb Cell,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,Ascending Thin Limb Cell,0,3
Kidney,UBERON:0002113,Loop Of Henle Ascending Limb Thin Segment,UBERON:0004193,,vasa recta ascending limb cell,CL:1001131,Ascending Vasa Recta,0,5
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,cortical collecting duct,UBERON:0004203,Collecting Duct,1,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,proximal straight tubule,UBERON:0001290,Proximal Tubule,1,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,proximal convoluted tubule segment 2,UBERON:0004197,Proximal Tubule,1,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,proximal convoluted tubule segment 1,UBERON:0004196,Proximal Tubule,1,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Proximal Tubule Epithelial Cell Segment 1,epithelial cell of proximal tubule segment 1,CL:4030009,Proximal Tubule,0,16
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,distal convoluted tubule,UBERON:0001292,Distal Convulated Tubule,1,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Distal Convoluted Tubule Cell,kidney distal convoluted tubule epithelial cell,CL:1000849,Distal Convulated Tubule,0,15
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,renal connecting tubule,UBERON:0005097,Connecting Tubule,2,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Connecting Tubule Cell,kidney connecting tubule epithelial cell,CL:1000768,Connecting Tubule,0,16
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Macula Densa cell,macula densa epithelial cell,CL:1000850,Macula Densa,0,9
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,thick ascending limb of loop of Henle,UBERON:0001291,Thick Ascending Limb Of Loop Of Henle,2,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,loop of Henle ascending limb thin segment,UBERON:0004193,Ascending Thin Limb Of Loop Of Henle,2,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,descending thin limb,UBERON:0005096,Descending Thin Limb Of Loop Of Henle,2,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Inner Medullary Collecting Duct Cell,kidney inner medulla collecting duct principal cell,CL:1000718,Collecting Duct,0,14
Kidney,UBERON:0002113,Nephron,UBERON:0001285,,Renal Corpuscle,UBERON:0001229,Renal Corpuscle,2,0
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Ascending Thin Limb Cell,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,Ascending Thin Limb Of Loop Of Henle Cell,0,2
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Descending Thin Limb Cell,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,Descending Thin Limb Of Loop Of Henle Cell,0,2
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Thick Ascending Limb Cell,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,Thick Ascending Limb Of Loop Of Henle Cell,0,11
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Cortical Collecting Duct Principal Cell,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct Principal Cell,0,15
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Outer Medullary Collecting Duct Principal Cell,kidney outer medulla collecting duct principal cell,CL:1000716,Outer Medullary Collecting Duct Principal Cell,0,15
Kidney,UBERON:0002113,Nephron,UBERON:0001285,Outer Medullary Collecting Duct Principal Cell,kidney inner medulla collecting duct,CL:1000718,Inner Medullary Collecting Duct Principal Cell,0,14
Kidney,UBERON:0002113,Renal Corpuscle,UBERON:0001229,Mesangial Cell,glomerular mesangial cell,CL:1000742,Glomerular Mesangial Cell,0,16
Kidney,UBERON:0002113,Renal Corpuscle,UBERON:0001229,Podocyte,podocyte,CL:0000653,Glomerular Visceral Epithelial Cell,0,27
Kidney,UBERON:0002113,Renal Corpuscle,UBERON:0001229,Proximal Tubule Epithelial Cell,epithelial cell of proximal tubule,CL:0002306,Epithelial Cell Proximal Tubule,0,8
Kidney,UBERON:0002113,Renal Corpuscle,UBERON:0001229,Glomerular Capillary Endothelial Cell,glomerular capillary endothelial cell,CL:1001005,Glomerular Capillary Endothelial Cell,0,10
