omapId,url,organ,tissuePreservationMethod,imagingMethod,csv,xlsx,representativeDataset,as,ct,bp
OMAP-1,https://purl.humanatlas.io/omap/1-human-lymph-node-ibex/v1.4,lymph node,1% PFA fixed frozen,IBEX,https://cdn.humanatlas.io/digital-objects/omap/1-human-lymph-node-ibex/v1.4/assets/omap-1-human-lymph-node-ibex.csv,https://cdn.humanatlas.io/digital-objects/omap/1-human-lymph-node-ibex/v1.4/assets/omap-1-human-lymph-node-ibex.xlsx,TODO: Ellen fills in,,,39
OMAP-2,https://purl.humanatlas.io/omap/2-intestine-codex/v1.4,intestine,Fresh frozen,CODEX,https://cdn.humanatlas.io/digital-objects/omap/2-intestine-codex/v1.4/assets/omap-2-intestine-codex.csv,https://cdn.humanatlas.io/digital-objects/omap/2-intestine-codex/v1.4/assets/omap-2-intestine-codex.xlsx,TODO: Ellen fills in,,,62
OMAP-3,https://purl.humanatlas.io/omap/3-kidney-codex/v1.3,kidney,Fresh frozen,CODEX,https://cdn.humanatlas.io/digital-objects/omap/3-kidney-codex/v1.3/assets/omap-3-kidney-codex.csv,https://cdn.humanatlas.io/digital-objects/omap/3-kidney-codex/v1.3/assets/omap-3-kidney-codex.xlsx,TODO: Ellen fills in,,,24
OMAP-4,https://purl.humanatlas.io/omap/4-skin-cell-dive/v1.3,skin of body,FFPE,Cell DIVE,https://cdn.humanatlas.io/digital-objects/omap/4-skin-cell-dive/v1.3/assets/omap-4-skin-cell-dive.csv,https://cdn.humanatlas.io/digital-objects/omap/4-skin-cell-dive/v1.3/assets/omap-4-skin-cell-dive.xlsx,TODO: Ellen fills in,,,49
OMAP-5,https://purl.humanatlas.io/omap/5-liver-sims/v1.3,liver,Fresh frozen,SIMS,https://cdn.humanatlas.io/digital-objects/omap/5-liver-sims/v1.3/assets/omap-5-liver-sims.csv,https://cdn.humanatlas.io/digital-objects/omap/5-liver-sims/v1.3/assets/omap-5-liver-sims.xlsx,TODO: Ellen fills in,,,20
OMAP-6,https://purl.humanatlas.io/omap/6-pancreas-codex/v1.3,pancreas,FFPE,CODEX,https://cdn.humanatlas.io/digital-objects/omap/6-pancreas-codex/v1.3/assets/omap-6-pancreas-codex.csv,https://cdn.humanatlas.io/digital-objects/omap/6-pancreas-codex/v1.3/assets/omap-6-pancreas-codex.xlsx,TODO: Ellen fills in,,,11
OMAP-7,https://purl.humanatlas.io/omap/7-lung-cell-dive/v1.3,lung,FFPE,Cell DIVE,https://cdn.humanatlas.io/digital-objects/omap/7-lung-cell-dive/v1.3/assets/omap-7-lung-cell-dive.csv,https://cdn.humanatlas.io/digital-objects/omap/7-lung-cell-dive/v1.3/assets/omap-7-lung-cell-dive.xlsx,TODO: Ellen fills in,,,57
OMAP-8,https://purl.humanatlas.io/omap/8-placenta-full-term-imc/v1.1,placenta,FFPE,IMC,https://cdn.humanatlas.io/digital-objects/omap/8-placenta-full-term-imc/v1.1/assets/omap-8-placenta-full-term-imc.csv,https://cdn.humanatlas.io/digital-objects/omap/8-placenta-full-term-imc/v1.1/assets/omap-8-placenta-full-term-imc.xlsx,TODO: Ellen fills in,,,41
OMAP-9,https://purl.humanatlas.io/omap/9-kidney-codex/v1.2,kidney,Fresh Frozen,CODEX,https://cdn.humanatlas.io/digital-objects/omap/9-kidney-codex/v1.2/assets/omap-9-kidney-codex.csv,https://cdn.humanatlas.io/digital-objects/omap/9-kidney-codex/v1.2/assets/omap-9-kidney-codex.xlsx,TODO: Ellen fills in,,,41
OMAP-10,https://purl.humanatlas.io/omap/10-palatine-tonsil-mics/v1.1,palatine tonsil,1% PFA fixed frozen,MICS,https://cdn.humanatlas.io/digital-objects/omap/10-palatine-tonsil-mics/v1.1/assets/omap-10-palatine-tonsil-mics.csv,https://cdn.humanatlas.io/digital-objects/omap/10-palatine-tonsil-mics/v1.1/assets/omap-10-palatine-tonsil-mics.xlsx,TODO: Ellen fills in,,,33
OMAP-11,https://purl.humanatlas.io/omap/11-spleen-ibex/v1.1,spleen,1% PFA fixed frozen,IBEX,https://cdn.humanatlas.io/digital-objects/omap/11-spleen-ibex/v1.1/assets/omap-11-spleen-ibex.csv,https://cdn.humanatlas.io/digital-objects/omap/11-spleen-ibex/v1.1/assets/omap-11-spleen-ibex.xlsx,TODO: Ellen fills in,,,25
OMAP-12,https://purl.humanatlas.io/omap/12-eye-retina-ibex/v1.1,retina,1% PFA Fixed Frozen,IBEX,https://cdn.humanatlas.io/digital-objects/omap/12-eye-retina-ibex/v1.1/assets/omap-12-eye-retina-ibex.csv,https://cdn.humanatlas.io/digital-objects/omap/12-eye-retina-ibex/v1.1/assets/omap-12-eye-retina-ibex.xlsx,TODO: Ellen fills in,,,14
OMAP-13,https://purl.humanatlas.io/omap/13-pancreas-codex/v1.1,pancreas,4% PFA fixed frozen,CODEX,https://cdn.humanatlas.io/digital-objects/omap/13-pancreas-codex/v1.1/assets/omap-13-pancreas-codex.csv,https://cdn.humanatlas.io/digital-objects/omap/13-pancreas-codex/v1.1/assets/omap-13-pancreas-codex.xlsx,TODO: Ellen fills in,,,42
OMAP-14,https://purl.humanatlas.io/omap/14-kidney-cycif/v1.0,kidney,Fresh frozen,CyCIF,https://cdn.humanatlas.io/digital-objects/omap/14-kidney-cycif/v1.0/assets/omap-14-kidney-cycif.csv,https://cdn.humanatlas.io/digital-objects/omap/14-kidney-cycif/v1.0/assets/omap-14-kidney-cycif.xlsx,TODO: Ellen fills in,,,21
OMAP-15,https://purl.humanatlas.io/omap/15-intestine-codex/v1.0,intestine,FFPE,CODEX,https://cdn.humanatlas.io/digital-objects/omap/15-intestine-codex/v1.0/assets/omap-15-intestine-codex.csv,https://cdn.humanatlas.io/digital-objects/omap/15-intestine-codex/v1.0/assets/omap-15-intestine-codex.xlsx,TODO: Ellen fills in,,,63
OMAP-16,https://purl.humanatlas.io/omap/16-lung-codex/v1.0,lung,FFPE,CODEX,https://cdn.humanatlas.io/digital-objects/omap/16-lung-codex/v1.0/assets/omap-16-lung-cell-codex.csv,https://cdn.humanatlas.io/digital-objects/omap/16-lung-codex/v1.0/assets/omap-16-lung-cell-codex.xlsx,TODO: Ellen fills in,,,48
OMAP-18,https://purl.humanatlas.io/omap/18-lymph-node-cell-dive-ibex/v1.0,lymph node,FFPE,Cell DIVE-IBEX,https://cdn.humanatlas.io/digital-objects/omap/18-lymph-node-cell-dive-ibex/v1.0/assets/omap-18-lymph-node-cell-dive-ibex.csv,https://cdn.humanatlas.io/digital-objects/omap/18-lymph-node-cell-dive-ibex/v1.0/assets/omap-18-lymph-node-cell-dive-ibex.xlsx,TODO: Ellen fills in,,,11
OMAP-19,https://purl.humanatlas.io/omap/19-palatine-tonsil-ibex/v1.0,palatine tonsil,FFPE,IBEX,https://cdn.humanatlas.io/digital-objects/omap/19-palatine-tonsil-ibex/v1.0/assets/omap-19-palatine-tonsil-ibex.csv,https://cdn.humanatlas.io/digital-objects/omap/19-palatine-tonsil-ibex/v1.0/assets/omap-19-palatine-tonsil-ibex.xlsx,TODO: Ellen fills in,,,31
OMAP-20,https://purl.humanatlas.io/omap/20-kidney-ims-cycif/v1.0,kidney,Fresh frozen,CyCIF,https://cdn.humanatlas.io/digital-objects/omap/20-kidney-ims-cycif/v1.0/assets/omap-20-kidney-ims-cycif.csv,https://cdn.humanatlas.io/digital-objects/omap/20-kidney-ims-cycif/v1.0/assets/omap-20-kidney-ims-cycif.xlsx,TODO: Ellen fills in,,,10
OMAP-21,https://purl.humanatlas.io/omap/21-palatine-tonsil-mics/v1.0,palatine tonsil,FFPE,MICS,https://cdn.humanatlas.io/digital-objects/omap/21-palatine-tonsil-mics/v1.0/assets/omap-21-palatine-tonsil-mics.csv,https://cdn.humanatlas.io/digital-objects/omap/21-palatine-tonsil-mics/v1.0/assets/omap-21-palatine-tonsil-mics.xlsx,TODO: Ellen fills in,,,47
