Organ,tableVersion,AS,CT,B_Total,BG,BP,AS_AS,AS_CT,CT_BM,url
Bone Marrow & Blood/Pelvis,no data,2,45,231,177,54,2,70,631,https://doi.org/10.48539/HBM963.TBFP.428
Brain,1.0,184,127,257,257,0,185,127,346,https://doi.org/10.48539/HBM264.CCRF.525
Heart,1.0,50,23,45,45,0,60,183,74,https://doi.org/10.48539/HBM873.NNVD.559
Intestine Large,1.0,48,57,85,84,1,290,1,158,178,https://doi.org/10.48539/HBM287.KVCD.758
Kidney,1.0,61,62,150,150,0,62,60,257,https://doi.org/10.48539/HBM325.PTQS.258
Lung,1.0,146,87,258,258,0,911,1,658,722,https://doi.org/10.48539/HBM868.DWJZ.874
Lymph Node,1.0,35,45,167,94,73,57,121,417,https://doi.org/10.48539/HBM375.LMPC.837
Skin,1.0,15,36,68,0,68,17,19,96,https://doi.org/10.48539/HBM227.WHPG.367
Spleen,1.0,27,66,163,72,91,55,413,372,https://doi.org/10.48539/HBM625.VPLJ.455
Thymus,1.0,17,41,442,378,64,37,198,613,https://doi.org/10.48539/HBM934.JMVN.957
Vasculature,no data,839,2,1,1,0,867,604,2,https://doi.org/10.48539/HBM426.GZPN.888
