Organ,csv,table_version,AS,CT,B_Total,BG,BP,BM,BF,BL,ASWithNoLink,CTWithNoLink,BWithNoLink,ASWithNoCT,CTWithNoB,AS_AS,AS_CT,CT_BM,url
Anatomical Systems,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-anatomical-systems.csv,v1.0,82,0,0,0,0,0,0,0,0,0,0,42,0,89,0,0,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-anatomical-systems.html
Blood,https://cdn.humanatlas.io/hra-releases/v1.3/asct-b/asct-b-vh-blood-pelvis.csv,v1.3,1,29,159,112,47,0,0,0,0,1,0,0,0,1,29,499,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-blood-pelvis.html
Blood Vasculature,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-blood-vasculature.csv,v1.5,1054,10,10,10,0,0,0,0,678,0,0,0,7,1081,2253,11,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-blood-vasculature.html
Bone Marrow,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-bone-marrow.csv,v1.4,1,47,262,198,64,0,0,0,0,0,0,0,0,1,47,838,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-bone-marrow.html
Brain,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-allen-brain.csv,v1.5,188,625,828,828,0,0,0,0,17,189,461,143,0,192,139,2972,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-allen-brain.html
Eye,https://cdn.humanatlas.io/hra-releases/v1.4/asct-b/asct-b-vh-eye.csv,v1.3,39,55,182,61,93,11,7,10,3,52,8,11,5,40,60,433,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-eye.html
Fallopian Tube,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-fallopian-tube.csv,v1.2,72,19,26,13,13,0,0,0,63,0,1,33,1,84,85,30,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-fallopian-tube.html
Heart,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-heart.csv,v1.3,52,28,45,45,0,0,0,0,23,1,0,0,7,66,229,77,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-heart.html
Kidney,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-kidney.csv,v1.4,61,70,213,186,27,0,0,0,5,17,3,0,0,79,82,401,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-kidney.html
Knee,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-knee.csv,v1.2,6,11,28,28,0,0,0,0,0,0,9,0,0,7,22,58,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-knee.html
Large Intestine,https://cdn.humanatlas.io/hra-releases/v1.3/asct-b/asct-b-vh-large-intestine.csv,v1.3,54,58,166,83,83,0,0,0,0,1,3,0,0,287,1180,360,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-large-intestine.html
Liver,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-liver.csv,v1.2,17,30,86,29,57,0,0,0,1,1,2,1,2,17,31,119,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-liver.html
Lung,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-lung.csv,v1.4,54,74,333,230,103,0,0,0,0,0,0,4,0,77,123,825,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-lung.html
Lymph Node,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-lymph-node.csv,v1.3,34,45,220,104,116,0,0,0,0,0,0,0,0,43,86,497,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-lymph-node.html
Lymph Vasculature,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-lymph-vasculature.csv,v1.4,93,1,1,1,0,0,0,0,79,0,0,0,0,95,58,1,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-lymph-vasculature.html
Main Bronchus,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-main-bronchus.csv,v1.1,15,19,118,76,42,0,0,0,0,0,0,2,0,15,20,235,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-main-bronchus.html
Muscular System,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-muscular-system.csv,v1.1,382,1,0,0,0,0,0,0,217,0,0,0,1,388,291,0,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-muscular-system.html
Ovary,https://cdn.humanatlas.io/hra-releases/v1.3/asct-b/asct-b-vh-ovary.csv,v1.2,75,16,15,0,14,0,0,1,45,4,11,29,13,109,36,15,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-ovary.html
Palatine Tonsil,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-palatine-tonsil.csv,v1.0,21,17,46,12,34,0,0,0,10,0,4,5,1,21,14,108,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-palatine-tonsil.copy.html
Pancreas,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-pancreas.csv,v1.3,31,30,57,54,2,0,1,0,2,1,2,11,3,132,168,131,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-pancreas.html
Peripheral Nervous System,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-peripheral-nervous-system.csv,v1.1,888,1,2,1,1,0,0,0,792,0,0,108,0,910,608,2,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-peripheral-nervous-system.html
Placenta Full Term,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-placenta-full-term.csv,v1.1,35,25,45,44,0,0,0,1,16,1,3,0,0,61,100,87,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-placenta-full-term.html
Prostate,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-prostate.csv,v1.1,13,19,39,39,0,0,0,0,0,0,1,0,0,14,14,61,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-prostate.html
Skeleton,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-skeleton.csv,v1.1,1072,1,0,0,0,0,0,0,898,0,0,0,1,1072,942,0,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-skeleton.html
Skin,https://cdn.humanatlas.io/hra-releases/v2.0/asct-b/asct-b-vh-skin.csv,v1.3,15,35,69,0,69,0,0,0,0,1,0,0,0,17,20,99,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-skin.html
Small Intestine,https://cdn.humanatlas.io/hra-releases/v1.3/asct-b/asct-b-vh-small-intestine.csv,v1.1,39,34,89,43,46,0,0,0,16,87,9,16,10,69,165,108,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-small-intestine.html
Spinal Cord,https://cdn.humanatlas.io/hra-releases/v1.4/asct-b/asct-b-vh-spinal-cord.csv,v1.0,86,8,69,67,2,0,0,0,0,0,0,66,0,105,17,69,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-spinal-cord.html
Spleen,https://cdn.humanatlas.io/hra-releases/v1.3/asct-b/asct-b-vh-spleen.csv,v1.3,37,59,194,85,109,0,0,0,13,8,13,0,0,50,129,419,https://cdn.humanatlas.io/hra-releases/v2.0/docs/asct-b/asct-b-vh-spleen.html
