Organ,H5AD,AS3D,AS,CT,Azimuth,CellTypist,popV,hasReferenceOrgan
Bone marrow,183,0,1,47,43,39,14,
Pancreas,14,12,29,34,11,9,14,x
Small Intestine,330,23,43,35,0,0,16,x
Uterus,49,10,65,33,0,0,13,x
blood,2793,0,1,29,41,26,18,
blood vasculature,26,248,1089,68,0,0,14,x
eye,515,96,43,37,0,0,27,x
heart,579,34,1093,71,25,49,6,x
hippocampal gyrus (formation),18,216,4,45,0,20,0,x
white adipose tissue,0,0,1,0,26,0,0,
intestine,0,0,1,0,0,38,0,
kidney,649,116,64,75,58,34,0,x
large intestine,268,22,175,100,0,0,16,x
liver,80,46,599,50,25,35,12,x
lung,792,141,71,84,78,71,36,x
lymph node,0,16,35,46,0,28,22,x
male reproductive system,0,18,1217,82,0,0,13,x
mammary gland,2,0,1,0,0,0,14,
mesenteric lymph node,35,16,1,1,0,0,22,x
palatine tonsil,0,0,98,22,81,0,0,
prostate gland,35,18,1215,82,0,0,13,x
skeletal muscle tissue,0,0,1,0,0,18,0,
skin of body,68,2,32,50,0,23,21,x
spleen,81,12,87,73,0,32,22,x
thoracic thymus,91,6,534,63,0,0,21,x
trachea,33,6,14,18,0,0,18,x
urinary bladder,13,15,16,15,0,0,14,x
